,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2021-11-01,332999.2368279977,184904.26290776755,307922.47238456307,332999.2368279977,332999.2368279977,-86525.7348495047,-86525.7348495047,-86525.7348495047,-86525.7348495047,-86525.7348495047,-86525.7348495047,0.0,0.0,0.0,246473.501978493
11,2021-12-01,335385.5466757576,437862.8229714883,560817.3453921209,335385.5466757576,335385.5466757576,167097.36980824656,167097.36980824656,167097.36980824656,167097.36980824656,167097.36980824656,167097.36980824656,0.0,0.0,0.0,502482.9164840042
12,2022-01-01,337851.40018424415,-38893.63665927936,88358.53801282983,337851.40018424415,337851.40018424415,-315395.17921387806,-315395.17921387806,-315395.17921387806,-315395.17921387806,-315395.17921387806,-315395.17921387806,0.0,0.0,0.0,22456.220970366092
13,2022-02-01,340317.25369195844,246214.45051609972,362918.3738396313,340317.25369195844,340317.25369195844,-36817.990617634205,-36817.990617634205,-36817.990617634205,-36817.990617634205,-36817.990617634205,-36817.990617634205,0.0,0.0,0.0,303499.26307432423
14,2022-03-01,342544.47621505515,216097.6380211235,335576.5870679057,342544.47621505515,342544.47621505515,-67063.88425371793,-67063.88425371793,-67063.88425371793,-67063.88425371793,-67063.88425371793,-67063.88425371793,0.0,0.0,0.0,275480.59196133725
15,2022-04-01,345010.3297233512,77275.36675565285,198937.5225863212,345010.3297233512,345010.3297233512,-207842.57892384907,-207842.57892384907,-207842.57892384907,-207842.57892384907,-207842.57892384907,-207842.57892384907,0.0,0.0,0.0,137167.75079950216
16,2022-05-01,347396.6395692565,122098.85127784987,240566.188452017,347396.6395692565,347396.6395692565,-166199.49874820915,-166199.49874820915,-166199.49874820915,-166199.49874820915,-166199.49874820915,-166199.49874820915,0.0,0.0,0.0,181197.14082104736
17,2022-06-01,349862.49089536146,244711.9942577419,361899.90956686414,349862.49089536146,349862.49089536146,-45287.42111827772,-45287.42111827772,-45287.42111827772,-45287.42111827772,-45287.42111827772,-45287.42111827772,0.0,0.0,0.0,304575.06977708376
18,2022-07-01,352248.79862929066,274239.84216123115,396687.2326234521,352248.79862929066,352248.79862929066,-13911.241580129874,-13911.241580129874,-13911.241580129874,-13911.241580129874,-13911.241580129874,-13911.241580129874,0.0,0.0,0.0,338337.55704916077
19,2022-08-01,354714.6499535957,120818.25335950301,242157.94996074104,354714.6499535957,354714.6499535957,-172359.22257210422,-172359.22257210422,-172359.22257210422,-172359.22257210422,-172359.22257210422,-172359.22257210422,0.0,0.0,0.0,182355.4273814915
