,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
12,2021-04-04,50560.04720218795,-62995.4063881706,205409.27408297497,50560.04720218795,50560.04720218795,29167.48662513745,29167.48662513745,29167.48662513745,29167.48662513745,29167.48662513745,29167.48662513745,0.0,0.0,0.0,79727.5338273254
13,2021-04-11,50671.23337308092,-87649.59136372892,172466.88319915748,50671.23337308092,50671.23337308092,-8990.759383829374,-8990.759383829374,-8990.759383829374,-8990.759383829374,-8990.759383829374,-8990.759383829374,0.0,0.0,0.0,41680.47398925154
14,2021-04-18,50782.41954397389,-131919.7539734457,131646.10387137887,50782.41954397389,50782.41954397389,-49682.21833698382,-49682.21833698382,-49682.21833698382,-49682.21833698382,-49682.21833698382,-49682.21833698382,0.0,0.0,0.0,1100.2012069900738
15,2021-04-25,50893.60572003681,-139376.55318068885,127402.38290021606,50893.60572003681,50893.60572003681,-56114.9846584352,-56114.9846584352,-56114.9846584352,-56114.9846584352,-56114.9846584352,-56114.9846584352,0.0,0.0,0.0,-5221.378938398389
16,2021-05-02,51004.79189609973,-109763.92116196376,159358.080602462,51004.79189609973,51004.79189609973,-28343.84478382731,-28343.84478382731,-28343.84478382731,-28343.84478382731,-28343.84478382731,-28343.84478382731,0.0,0.0,0.0,22660.947112272417
17,2021-05-09,51115.978072162645,-80637.53645727388,191729.1108484343,51115.978072162645,51115.978072162645,-1697.798384051082,-1697.798384051082,-1697.798384051082,-1697.798384051082,-1697.798384051082,-1697.798384051082,0.0,0.0,0.0,49418.179688111566
18,2021-05-16,51227.16424822557,-82984.28497684216,185931.45181006542,51227.16424822557,51227.16424822557,-5017.0370281126925,-5017.0370281126925,-5017.0370281126925,-5017.0370281126925,-5017.0370281126925,-5017.0370281126925,0.0,0.0,0.0,46210.127220112874
19,2021-05-23,51338.35042953179,-93575.99651074433,155137.29809952737,51338.35042953179,51338.35042953179,-27506.27343196041,-27506.27343196041,-27506.27343196041,-27506.27343196041,-27506.27343196041,-27506.27343196041,0.0,0.0,0.0,23832.07699757138
20,2021-05-30,51449.53661083801,-116764.11638975452,150754.29056197597,51449.53661083801,51449.53661083801,-32770.62096350172,-32770.62096350172,-32770.62096350172,-32770.62096350172,-32770.62096350172,-32770.62096350172,0.0,0.0,0.0,18678.91564733629
21,2021-06-06,51560.72279214423,-86066.9119449628,189131.89849590935,51560.72279214423,51560.72279214423,-3124.306533418093,-3124.306533418093,-3124.306533418093,-3124.306533418093,-3124.306533418093,-3124.306533418093,0.0,0.0,0.0,48436.41625872614
