,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
120,2023-05-08,895.3288628234269,-8922.444404824222,12671.873304744215,895.3288628234269,895.3288628234269,272.33380457522156,272.33380457522156,272.33380457522156,272.33380457522156,272.33380457522156,272.33380457522156,0.0,0.0,0.0,1167.6626673986484
121,2023-05-15,902.2900753609098,-10357.253389536487,11107.307547715454,902.2900753609098,902.2900753609098,-166.69425889055123,-166.69425889055123,-166.69425889055123,-166.69425889055123,-166.69425889055123,-166.69425889055123,0.0,0.0,0.0,735.5958164703586
122,2023-05-22,909.2512878983925,-10391.444813782731,11279.860121007083,909.2512878983925,909.2512878983925,-519.6577242374308,-519.6577242374308,-519.6577242374308,-519.6577242374308,-519.6577242374308,-519.6577242374308,0.0,0.0,0.0,389.59356366096176
123,2023-05-29,916.2125004358757,-10364.383647419741,11832.6006699578,916.2125004358757,916.2125004358757,-285.9560350345443,-285.9560350345443,-285.9560350345443,-285.9560350345443,-285.9560350345443,-285.9560350345443,0.0,0.0,0.0,630.2564654013313
124,2023-06-05,923.1737129733584,-8324.275397416443,13011.870097419627,923.1737129733584,923.1737129733584,390.95780204270466,390.95780204270466,390.95780204270466,390.95780204270466,390.95780204270466,390.95780204270466,0.0,0.0,0.0,1314.131515016063
125,2023-06-12,930.1349255108413,-9850.087081479958,12038.914378300002,930.1349255108413,930.1349255108413,870.2388940577134,870.2388940577134,870.2388940577134,870.2388940577134,870.2388940577134,870.2388940577134,0.0,0.0,0.0,1800.3738195685546
126,2023-06-19,937.0961380483242,-9533.792922904995,12071.596393707756,937.0961380483242,937.0961380483242,717.6221314619361,717.6221314619361,717.6221314619361,717.6221314619361,717.6221314619361,717.6221314619361,0.0,0.0,0.0,1654.7182695102601
127,2023-06-26,944.0573505858071,-9665.518785016551,12892.827806872278,944.0573505858071,944.0573505858071,161.9978061073726,161.9978061073726,161.9978061073726,161.9978061073726,161.9978061073726,161.9978061073726,0.0,0.0,0.0,1106.0551566931797
128,2023-07-03,951.0185631232898,-9890.637552463577,11983.718624353465,951.0185631232898,951.0185631232898,-193.41231049049023,-193.41231049049023,-193.41231049049023,-193.41231049049023,-193.41231049049023,-193.41231049049023,0.0,0.0,0.0,757.6062526327996
129,2023-07-10,957.9797756607728,-10003.656147335185,12539.965051256417,957.9797756607728,957.9797756607728,-42.26871025789624,-42.26871025789624,-42.26871025789624,-42.26871025789624,-42.26871025789624,-42.26871025789624,0.0,0.0,0.0,915.7110654028766
130,2023-07-17,964.9409881982557,-9276.990947269293,12269.922637549385,964.9409881982557,964.9409881982557,338.48052982927686,338.48052982927686,338.48052982927686,338.48052982927686,338.48052982927686,338.48052982927686,0.0,0.0,0.0,1303.4215180275326
131,2023-07-24,971.9022007357385,-9905.598768768012,13028.887578769436,971.9022007357385,971.9022007357385,466.0888613110934,466.0888613110934,466.0888613110934,466.0888613110934,466.0888613110934,466.0888613110934,0.0,0.0,0.0,1437.9910620468318
132,2023-07-31,978.8634132732213,-9991.199677333032,11824.480855776183,978.8634132732213,978.8634132732213,207.55075863061757,207.55075863061757,207.55075863061757,207.55075863061757,207.55075863061757,207.55075863061757,0.0,0.0,0.0,1186.414171903839
133,2023-08-07,985.8246258107041,-10641.87655122051,12121.227904022804,985.8246258107041,985.8246258107041,-123.25788386415532,-123.25788386415532,-123.25788386415532,-123.25788386415532,-123.25788386415532,-123.25788386415532,0.0,0.0,0.0,862.5667419465487
134,2023-08-14,992.7858383481872,-11188.112378662734,11604.806814598465,992.7858383481872,992.7858383481872,-180.835663756193,-180.835663756193,-180.835663756193,-180.835663756193,-180.835663756193,-180.835663756193,0.0,0.0,0.0,811.9501745919943
135,2023-08-21,999.74705088567,-10448.105888361253,11751.188567996342,999.74705088567,999.74705088567,14.725756499173125,14.725756499173125,14.725756499173125,14.725756499173125,14.725756499173125,14.725756499173125,0.0,0.0,0.0,1014.4728073848431
136,2023-08-28,1006.7082634231529,-10171.145132985654,11986.639458564945,1006.7082634231529,1006.7082634231529,149.23675535365143,149.23675535365143,149.23675535365143,149.23675535365143,149.23675535365143,149.23675535365143,0.0,0.0,0.0,1155.9450187768043
137,2023-09-04,1013.6694759606359,-9837.940149555583,12755.662109007359,1013.6694759606359,1013.6694759606359,21.248700431899522,21.248700431899522,21.248700431899522,21.248700431899522,21.248700431899522,21.248700431899522,0.0,0.0,0.0,1034.9181763925353
138,2023-09-11,1020.6306884981187,-10102.115143065304,12021.869559215178,1020.6306884981187,1020.6306884981187,-217.7857487867212,-217.7857487867212,-217.7857487867212,-217.7857487867212,-217.7857487867212,-217.7857487867212,0.0,0.0,0.0,802.8449397113975
139,2023-09-18,1027.5919010356015,-10301.702500899768,11996.972651015467,1027.5919010356015,1027.5919010356015,-251.68123138376527,-251.68123138376527,-251.68123138376527,-251.68123138376527,-251.68123138376527,-251.68123138376527,0.0,0.0,0.0,775.9106696518362
140,2023-09-25,1034.5531135730844,-10599.580669607289,11921.770140188972,1034.5531135730844,1034.5531135730844,28.10266382123927,28.10266382123927,28.10266382123927,28.10266382123927,28.10266382123927,28.10266382123927,0.0,0.0,0.0,1062.6557773943236
141,2023-10-02,1041.5143261105673,-9942.279165575686,12120.745667034926,1041.5143261105673,1041.5143261105673,385.72625681031894,385.72625681031894,385.72625681031894,385.72625681031894,385.72625681031894,385.72625681031894,0.0,0.0,0.0,1427.2405829208863
